Question,compLower,filename,hasQuestion,newWord1,newWord2,offsetNoun,onsetDet,onsetNoun,part,relatedness,sentID,speaker,totalLen,trigDet,trigOffsetNoun,unrelOppositeGender,waitForDetOffset,waitForEnd,waitForNounOffset,yesOrNo,trialIndex
,,Nat_314_control,0,leerlingen,huiswerk,7.395,6.658,6.924,experiment,control,314,Nat,7.402,55,155,,0.266,0.007,0.471,,89
,,Nat_328_control,0,documenten,kwijtraakt,3.277,2.806,2.934,experiment,control,328,Nat,5.552,55,155,,0.128,2.275,0.343,,90
,het schoolplein,Nat_27_related,0,,,3.314,2.638,2.746,experiment,related,27,Nat,4.408,11,119,de stoep,0.108,1.094,0.568,,91
,,Nat_321_control,0,week,lessen,1.245,0.587,0.778,experiment,control,321,Nat,4.136,55,155,,0.191,2.891,0.467,,92
,de krant,nonNat_16_unrelated,0,,,2.982,2.451,2.598,experiment,unrelated,16,nonNat,4.806,22,229,het nieuws,0.147,1.824,0.384,,93
Ging de zin over lastdieren in de bergen?,de kameel,nonNat_85_related,1,,,3.998,3.415,3.563,experiment,related,85,nonNat,5.028,21,219,het trekpaard,0.148,1.03,0.435,1.0,94
,de balk,Nat_95_related,0,,,4.217,3.704,3.798,experiment,related,95,Nat,5.141,11,119,het hout,0.094,0.924,0.419,,95
,de gordijnen,Nat_46_related,0,,,3.85,3.299,3.394,experiment,related,46,Nat,4.315,11,119,het luik,0.095,0.465,0.456,,96
,,Nat_316_control,0,amateurs,stunt,4.114,3.541,3.686,experiment,control,316,Nat,4.12,55,155,,0.145,0.006,0.428,,97
,de mouw,Nat_94_related,0,,,4.632,4.12,4.249,experiment,related,94,Nat,7.685,11,119,het vest,0.129,3.053,0.383,,98
,de trein,Nat_143_related,0,,,5.853,5.385,5.568,experiment,related,143,Nat,6.707,11,119,het fietsje,0.183,0.854,0.285,,99
,,nonNat_340_control,0,salade,pompoen,3.964,3.096,3.307,experiment,control,340,nonNat,6.734,55,155,,0.211,2.77,0.657,,100
,,Nat_310_control,0,attractiepark,Efteling,5.395,4.402,4.654,experiment,control,310,Nat,5.408,55,155,,0.252,0.013,0.741,,101
,de kinderwagen,nonNat_134_related,0,,,3.699,2.85,3.033,experiment,related,134,nonNat,4.633,21,219,het zonnetje,0.183,0.934,0.666,,102
,de pot,nonNat_122_unrelated,0,,,4.607,3.858,4.055,experiment,unrelated,122,nonNat,5.832,22,229,het toilet,0.197,1.225,0.552,,103
,,Nat_312_control,0,landen,vakantie,2.688,2.182,2.31,experiment,control,312,Nat,5.376,55,155,,0.128,2.688,0.378,,104
,,nonNat_355_control,0,zoon,buitenland,2.699,2.227,2.444,experiment,control,355,nonNat,4.376,55,155,,0.217,1.677,0.255,,105
,,Nat_326_control,0,koeien,gras,1.987,1.606,1.684,experiment,control,326,Nat,7.568,55,155,,0.078,5.581,0.303,,106
,,nonNat_350_control,0,oma's,kinderen,2.93,2.267,2.367,experiment,control,350,nonNat,5.407,55,155,,0.1,2.477,0.563,,107
,,Nat_315_control,0,ruimtemissies,jaar,2.069,1.344,1.479,experiment,control,315,Nat,6.144,55,155,,0.135,4.075,0.59,,108
Gaat de zin over een populair liedje?,de radio,Nat_158_unrelated,1,,,2.234,1.831,1.945,experiment,unrelated,158,Nat,3.001,12,129,het nieuws,0.114,0.767,0.289,0.0,109
Heeft de spreker een kerstboom met Kerst?,de cadeautjes,nonNat_9_related,1,,,3.179,2.509,2.671,experiment,related,9,nonNat,4.278,21,219,het pakje,0.162,1.099,0.508,1.0,110
,,Nat_306_control,0,kast,nachtkastje,0.44,0.016,0.183,experiment,control,306,Nat,5.032,55,155,,0.167,4.592,0.257,,111
Was de fiets van Martijn gestolen?,de politie,nonNat_42_unrelated,1,,,5.087,3.965,4.214,experiment,unrelated,42,nonNat,6.219,22,229,het politiebureau,0.249,1.132,0.873,1.0,112
Waren de bejaarden geïnteresseerd in schilderijen van Monet?,het museum,Nat_140_unrelated,1,,,4.276,3.663,3.794,experiment,unrelated,140,Nat,5.433,12,129,de broodwinkel,0.131,1.157,0.482,0.0,113
,,Nat_303_control,0,studenten,studie,1.034,0.179,0.311,experiment,control,303,Nat,4.896,55,155,,0.132,3.862,0.723,,114
,het aanrecht,nonNat_77_related,0,,,3.893,3.231,3.406,experiment,related,77,nonNat,4.301,21,219,de tafel,0.175,0.408,0.487,,115
Nemen ze een paraplu mee als het mooi weer is?,het strand,nonNat_24_unrelated,1,,,3.627,3.019,3.175,experiment,unrelated,24,nonNat,4.796,22,229,de rivier,0.156,1.169,0.452,1.0,116
Gaat de spreker in de zomer graag zwemmen?,het zwembad,nonNat_6_unrelated,1,,,4.325,3.588,3.774,experiment,unrelated,6,nonNat,5.272,22,229,de badkuip,0.186,0.947,0.551,1.0,117
,,Nat_305_control,0,ontbijt,boterham,3.347,2.76,2.896,experiment,control,305,Nat,4.005,55,155,,0.136,0.658,0.451,,118
,het geld,Nat_156_unrelated,0,,,3.709,3.189,3.29,experiment,unrelated,156,Nat,4.128,12,129,de briefjes,0.101,0.419,0.419,,119
Had Hendrik een bioscoopbon gekregen voor zijn verjaardag?,de bioscoop,nonNat_114_related,1,,,6.533,5.896,6.069,experiment,related,114,nonNat,7.206,21,219,het filmhuis,0.173,0.673,0.464,0.0,120
Gingen de dames nog een sigaretje roken?,het cafe,Nat_68_related,1,,,3.467,2.892,3.042,experiment,related,68,Nat,4.695,11,119,de lunchroom,0.15,1.228,0.425,1.0,121
Ging de zanger in een helicopter terug naar het hotel?,het hotel,Nat_93_related,1,,,3.433,2.91,3.041,experiment,related,93,Nat,4.192,11,119,de zaal,0.131,0.759,0.392,0.0,122
Moeten ze vanavond vroeg naar bed?,de wekker,Nat_34_related,1,,,3.665,3.183,3.308,experiment,related,34,Nat,4.584,11,119,het alarm,0.125,0.919,0.357,1.0,123
Zijn de meiden hout aan het verzamelen voor het kampvuur vanavond?,het kampvuur,nonNat_26_related,1,,,4.172,3.33,3.556,experiment,related,26,nonNat,4.842,21,219,de tocht,0.226,0.67,0.616,1.0,124
Lijkt Sam erg op zijn moeder?,de boom,nonNat_125_unrelated,1,,,5.625,5.013,5.218,experiment,unrelated,125,nonNat,6.643,22,229,het plantje,0.205,1.018,0.407,0.0,125
Was de spreker ziek?,de dokter,Nat_13_related,1,,,3.481,3.091,3.231,experiment,related,13,Nat,4.256,11,119,het ziekenhuis,0.14,0.775,0.25,1.0,126
,de naald,Nat_107_unrelated,0,,,3.662,3.07,3.193,experiment,unrelated,107,Nat,5.535,12,129,het huis,0.123,1.873,0.469,,127
,het platteland,Nat_149_related,0,,,6.029,5.341,5.503,experiment,related,149,Nat,6.712,11,119,de velden,0.162,0.683,0.526,,128
,de schat,Nat_5_unrelated,0,,,3.575,3.03,3.165,experiment,unrelated,5,Nat,4.413,12,129,het pakketje,0.135,0.838,0.41,,129
,,nonNat_352_control,0,Olympische Spelen,Rio de Janeiro,3.109,1.455,1.959,experiment,control,352,nonNat,5.796,55,155,,0.504,2.687,1.15,,130
,het casino,nonNat_66_unrelated,0,,,2.412,1.923,2.092,experiment,unrelated,66,nonNat,4.2,22,229,de bar,0.169,1.788,0.32,,131
Heeft de koning de nieuwe brug geopend?,het lint,nonNat_110_related,1,,,4.725,4.202,4.367,experiment,related,110,nonNat,5.687,21,219,de touwen,0.165,0.962,0.358,0.0,132
,de wereld,Nat_132_unrelated,0,,,3.237,2.46,2.612,experiment,unrelated,132,Nat,5.454,12,129,het paradijs,0.152,2.217,0.625,,133
,de bibliotheek,nonNat_47_related,0,,,4.259,3.502,3.712,experiment,related,47,nonNat,4.981,21,219,het uitleenpunt,0.21,0.722,0.547,,134
,,Nat_319_control,0,kabinet,toeristen,1.984,1.188,1.291,experiment,control,319,Nat,4.486,55,155,,0.103,2.502,0.693,,135
,het hart,Nat_87_unrelated,0,,,6.3,5.783,5.916,experiment,unrelated,87,Nat,7.736,12,129,de neus,0.133,1.436,0.384,,136
,,Nat_322_control,0,directeur,winstmarge,2.661,1.9,2.007,experiment,control,322,Nat,4.224,55,155,,0.107,1.563,0.654,,137
Was de prinses opgesloten in de torenkamer?,de draak,nonNat_103_unrelated,1,,,4.457,3.74,3.949,experiment,unrelated,103,nonNat,6.314,22,229,het leger,0.209,1.857,0.508,0.0,138
Maakte het publiek na afloop van de voorstelling een buiging?,het publiek,nonNat_38_related,1,,,5.052,4.536,4.717,experiment,related,38,nonNat,5.577,21,219,de mensen,0.181,0.525,0.335,1.0,139
Moesten de mensen wachten voor ze geholpen werden bij de dokter?,de wachtkamer,Nat_133_related,1,,,2.736,2.115,2.244,experiment,related,133,Nat,4.538,11,119,het halletje,0.129,1.802,0.492,0.0,140
,,Nat_318_control,0,onderzoek,invloed,4.884,4.173,4.326,experiment,control,318,Nat,4.896,55,155,,0.153,0.012,0.558,,141
,de zon,nonNat_121_related,0,,,3.414,2.952,3.084,experiment,related,121,nonNat,5.264,21,219,het zand,0.132,1.85,0.33,,142
,,nonNat_360_control,0,onvoldoende,Engels,3.656,2.965,3.153,experiment,control,360,nonNat,4.996,55,155,,0.188,1.34,0.503,,143
,,nonNat_334_control,0,boekenwinkels,jaren,5.39,4.902,5.122,experiment,control,334,nonNat,6.538,55,155,,0.22,1.148,0.268,,144
,,nonNat_331_control,0,oma,sjaals,1.547,0.951,1.198,experiment,control,331,nonNat,5.778,55,155,,0.247,4.231,0.349,,145
Leest de vader van de spreker graag de krant op zaterdag?,de krant,nonNat_161_related,1,,,2.819,2.322,2.542,experiment,related,161,nonNat,3.618,21,219,het magazine,0.22,0.799,0.277,0.0,146
,de gevangenis,nonNat_153_related,0,,,2.977,2.29,2.413,experiment,related,153,nonNat,3.525,21,219,het boevenhok,0.123,0.548,0.564,,147
,,nonNat_333_control,0,bevolking,parlement,2.984,2.326,2.417,experiment,control,333,nonNat,4.705,55,155,,0.091,1.721,0.567,,148
,,Nat_320_control,0,uitvinding,mensheid,2.055,1.427,1.527,experiment,control,320,Nat,3.843,55,155,,0.1,1.788,0.528,,149
,de apotheek,nonNat_54_related,0,,,2.925,2.215,2.357,experiment,related,54,nonNat,4.458,21,219,het kruidvat,0.142,1.533,0.568,,150
,,Nat_309_control,0,kinderen,bed,4.494,3.941,4.075,experiment,control,309,Nat,5.998,55,155,,0.134,1.504,0.419,,151
,de vergadering,nonNat_64_unrelated,0,,,3.449,3.071,3.179,experiment,unrelated,64,nonNat,4.1,22,229,het werk,0.108,0.651,0.27,,152
Zetten ze altijd een zwembad op als het warm is?,de tuin,Nat_40_related,1,,,2.857,2.475,2.627,experiment,related,40,Nat,3.502,11,119,het park,0.152,0.645,0.23,1.0,153
,,Nat_304_control,0,vakken,studie,1.051,0.428,0.515,experiment,control,304,Nat,4.264,55,155,,0.087,3.213,0.536,,154
Is het belangrijk om goed op het verkeer te letten als je in de auto rijdt?,de weg,Nat_21_unrelated,1,,,2.817,2.353,2.445,experiment,unrelated,21,Nat,3.753,12,129,het verkeer,0.092,0.936,0.372,1.0,155
Ging de zin over zuivelproducten?,de koelkast,Nat_150_unrelated,1,,,3.097,2.394,2.509,experiment,unrelated,150,Nat,4.674,12,129,het vriesvak,0.115,1.577,0.588,0.0,156
,het bord,Nat_22_unrelated,0,,,2.883,2.142,2.28,experiment,unrelated,22,Nat,3.681,12,129,de antwoordvellen,0.138,0.798,0.603,,157
,de thee,nonNat_7_related,0,,,6.083,5.601,5.833,experiment,related,7,nonNat,6.935,21,219,het drankje,0.232,0.852,0.25,,158
Is Jim vegetarisch?,het restaurant,Nat_124_unrelated,1,,,4.007,3.465,3.628,experiment,unrelated,124,Nat,5.129,12,129,de bistro,0.163,1.122,0.379,0.0,159
,,Nat_317_control,0,celstraf,raketwerper,0.614,0.01,0.071,experiment,control,317,Nat,5.224,55,155,,0.061,4.61,0.543,,160
,de spiegel,nonNat_74_related,0,,,4.793,4.115,4.251,experiment,related,74,nonNat,5.58,21,219,het raam,0.136,0.787,0.542,,161
,,Nat_311_control,0,land,skivakantie,3.946,3.47,3.589,experiment,control,311,Nat,6.002,55,155,,0.119,2.056,0.357,,162
,de film,nonNat_157_related,0,,,4.459,4.098,4.182,experiment,related,157,nonNat,5.383,21,219,het programma,0.084,0.924,0.277,,163
,het balkon,nonNat_159_unrelated,0,,,5.314,4.895,5.086,experiment,unrelated,159,nonNat,5.75,22,229,de bank,0.191,0.436,0.228,,164
,de kerk,Nat_98_unrelated,0,,,2.912,2.217,2.398,experiment,unrelated,98,Nat,3.503,12,129,het kapelletje,0.181,0.591,0.514,,165
Is er een muizenplaag in het studentenhuis?,de muizen,nonNat_49_related,1,,,3.237,2.763,2.897,experiment,related,49,nonNat,3.707,21,219,het knaagdier,0.134,0.47,0.34,1.0,166
Betalen de meeste mensen huur per jaar?,de maand,Nat_92_related,1,,,3.024,2.549,2.686,experiment,related,92,Nat,3.748,11,119,het jaar,0.137,0.724,0.338,0.0,167
,,nonNat_341_control,0,jongens,giletjes,6.264,5.196,5.48,experiment,control,341,nonNat,6.315,55,155,,0.284,0.051,0.784,,168
Verspreidt de koude lucht zich vanuit Rusland?,het land,Nat_160_unrelated,1,,,4.132,3.488,3.638,experiment,unrelated,160,Nat,4.623,12,129,de provincies,0.15,0.491,0.494,0.0,169
,de economie,nonNat_154_related,0,,,6.155,5.543,5.695,experiment,related,154,nonNat,6.826,21,219,het geluk,0.152,0.671,0.46,,170
,de airco,Nat_90_unrelated,0,,,3.899,3.322,3.502,experiment,unrelated,90,Nat,4.302,12,129,het ventiel,0.18,0.403,0.397,,171
Heeft deze zin iets te maken met hengelsport?,het net,Nat_89_unrelated,1,,,3.607,2.987,3.134,experiment,unrelated,89,Nat,4.8,12,129,de sloot,0.147,1.193,0.473,0.0,172
Laat de juwelier de sieraden 's nachts in de etalage liggen?,de kluis,Nat_44_related,1,,,3.142,2.657,2.805,experiment,related,44,Nat,4.223,11,119,het doosje,0.148,1.081,0.337,1.0,173
,het bos,nonNat_25_unrelated,0,,,4.118,3.441,3.606,experiment,unrelated,25,nonNat,5.767,22,229,de straat,0.165,1.649,0.512,,174
,de dierenarts,nonNat_152_unrelated,0,,,2.553,2.026,2.199,experiment,unrelated,152,nonNat,3.223,22,229,het asiel,0.173,0.67,0.354,,175
Was het druk op de weg naar Zandvoort?,het strand,nonNat_144_related,1,,,5.223,4.677,4.773,experiment,related,144,nonNat,5.935,21,219,de zee,0.096,0.712,0.45,0.0,176
Kijken de ouders elke avond het achtuurjournaal?,het journaal,Nat_33_unrelated,1,,,4.673,3.857,3.989,experiment,unrelated,33,Nat,7.072,12,129,de nieuwsberichten,0.132,2.399,0.684,1.0,177
Is het goed om geld op de bank te zetten?,de bank,Nat_148_unrelated,1,,,3.804,3.339,3.43,experiment,unrelated,148,Nat,4.139,12,129,het matras,0.091,0.335,0.374,0.0,178
,,nonNat_349_control,0,horeca,leeftijdsgrens,0.77,0.065,0.152,experiment,control,349,nonNat,6.469,55,155,,0.087,5.699,0.618,,179
